Package,Class,Lines of Code,Cyclomatic Complexity,Weighted Methods per Class,Depth of Inheritance Tree,Number of Children,Coupling between Objects,Response for Class,Lack of Cohesion of Methods
org::eclipse::jdt::internal::compiler::util::GenericXMLWriter,java::io::PrintWriter,102,27,27,1,1,7,27,2
org::eclipse::jdt::internal::core::XMLWriter,org::eclipse::jdt::internal::compiler::util::GenericXMLWriter,3,1,1,2,0,2,2,0
org::eclipse::jdt::core::dom::ParameterizedType,org::eclipse::jdt::core::dom::Type,138,22,22,3,0,12,45,5
org::eclipse::jdt::internal::core::JavaModelManager::PerWorkingCopyInfo,org::eclipse::jdt::core::IProblemRequestor,47,13,13,1,0,7,18,18
org::eclipse::jdt::internal::core::ReconcileWorkingCopyOperation,org::eclipse::jdt::internal::core::JavaModelOperation,203,40,40,2,0,36,52,1
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberAccess,org::eclipse::jdt::internal::compiler::ast::FieldReference,38,8,8,6,0,8,12,1
org::eclipse::jdt::internal::compiler::lookup::Scope,java::lang::Object,647,127,127,1,3,50,135,2036
org::eclipse::jdt::internal::compiler::ast::CompilationUnitDeclaration,org::eclipse::jdt::internal::compiler::impl::ReferenceContext,571,127,127,2,0,37,80,140
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3,org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword,24,7,7,7,0,4,11,10
org::eclipse::jdt::internal::compiler::ast::MethodDeclaration,org::eclipse::jdt::internal::compiler::ast::AbstractMethodDeclaration,206,58,58,3,4,30,51,16
org::eclipse::jdt::core::dom::Modifier::ModifierKeyword,java::lang::Object,90,9,9,1,0,7,13,5
org::eclipse::jdt::core::search::ReferenceMatch,org::eclipse::jdt::core::search::SearchMatch,103,3,3,2,1,3,4,0
org::eclipse::jdt::internal::core::search::matching::MatchLocatorParser,org::eclipse::jdt::internal::compiler::parser::Parser,647,127,127,2,1,43,135,2
org::eclipse::jdt::internal::compiler::lookup::MethodVerifier,java::lang::Object,647,127,127,1,1,29,104,3
org::eclipse::jdt::internal::compiler::flow::ExceptionHandlingFlowContext,org::eclipse::jdt::internal::compiler::flow::FlowContext,192,40,40,2,1,24,39,20
org::eclipse::jdt::core::util::ByteCodeVisitorAdapter,org::eclipse::jdt::core::util::IBytecodeVisitor,647,127,127,1,0,1,135,20910
org::eclipse::jdt::internal::compiler::classfmt::AnnotationInfo,org::eclipse::jdt::internal::compiler::classfmt::ClassFileStruct,345,95,95,2,0,20,44,1
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName,org::eclipse::jdt::internal::compiler::ast::MemberValuePair,9,3,2,3,0,1,5,0
org::eclipse::jdt::internal::core::NameLookup,java::lang::Object,647,127,127,1,0,50,131,81
org::eclipse::jdt::internal::formatter::CodeFormatterVisitor::MultiFieldDeclaration,org::eclipse::jdt::internal::compiler::ast::FieldDeclaration,4,1,1,5,0,0,0,0
org::eclipse::jdt::core::dom::ArrayType,org::eclipse::jdt::core::dom::Type,150,23,23,3,0,10,38,9
org::eclipse::jdt::internal::core::search::matching::TypeDeclarationPattern::PackageNameSet,java::lang::Object,33,10,10,1,0,2,5,0
org::eclipse::jdt::core::BindingKey,java::lang::Object,223,18,18,1,0,6,27,45
org::eclipse::jdt::internal::core::SourceType,org::eclipse::jdt::core::IType,647,127,127,6,1,50,135,1711
org::eclipse::jdt::internal::codeassist::complete::CompletionOnImportReference,org::eclipse::jdt::internal::compiler::ast::ImportReference,12,4,4,3,0,1,6,0
org::eclipse::jdt::internal::core::CompilationUnit,org::eclipse::jdt::internal::compiler::env::ICompilationUnit,647,127,127,4,3,50,135,3303
org::eclipse::jdt::core::dom::EmptyStatement,org::eclipse::jdt::core::dom::Statement,53,9,9,3,0,7,21,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTag,org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference,133,34,34,8,0,10,16,6
org::eclipse::jdt::internal::compiler::util::FloatUtil,java::lang::Object,369,79,77,1,0,3,8,1
org::eclipse::jdt::core::dom::NumberLiteral,org::eclipse::jdt::core::dom::Expression,136,29,29,3,0,13,37,2
org::eclipse::jdt::core::dom::VariableDeclarationExpression,org::eclipse::jdt::core::dom::Expression,267,40,39,3,0,17,60,19
org::eclipse::jdt::internal::core::search::matching::SuperTypeNamesCollector,java::lang::Object,193,39,39,1,0,45,49,0
org::eclipse::jdt::internal::core::TypeVector,java::lang::Object,89,25,25,1,0,5,17,26
org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationOfType,org::eclipse::jdt::internal::compiler::ast::TypeDeclaration,10,2,2,4,0,4,3,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnNameOfMemberValuePair,org::eclipse::jdt::internal::compiler::ast::MemberValuePair,17,4,4,3,0,5,8,1
org::eclipse::jdt::internal::core::RenameResourceElementsOperation,org::eclipse::jdt::internal::core::MoveResourceElementsOperation,41,7,7,5,0,6,11,0
org::eclipse::jdt::core::dom::ArrayInitializer,org::eclipse::jdt::core::dom::Expression,74,15,14,3,0,9,30,1
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFlattener,org::eclipse::jdt::core::dom::ASTVisitor,647,127,127,2,1,50,126,730
org::eclipse::jdt::internal::compiler::parser::ScannerHelper,java::lang::Object,223,63,63,1,0,11,35,25
org::eclipse::jdt::internal::core::search::SubTypeSearchJob,org::eclipse::jdt::internal::core::search::PatternSearchJob,24,10,9,2,0,7,11,0
org::eclipse::jdt::internal::core::builder::NameEnvironment,org::eclipse::jdt::internal::compiler::util::SuffixConstants,290,71,71,1,0,30,81,10
org::eclipse::jdt::internal::core::jdom::DOMField,org::eclipse::jdt::core::jdom::IDOMField,562,75,75,4,0,17,95,76
org::eclipse::jdt::internal::compiler::env::AccessRule,java::lang::Object,42,13,13,1,1,5,13,2
org::eclipse::jdt::internal::core::ChangeClasspathOperation,org::eclipse::jdt::internal::core::JavaModelOperation,63,10,10,2,3,13,24,0
org::eclipse::jdt::internal::compiler::lookup::AnnotationHolder::AnnotationMethodHolder,org::eclipse::jdt::internal::compiler::lookup::AnnotationHolder::MethodHolder,7,2,2,3,0,1,2,0
org::eclipse::jdt::internal::core::dom::rewrite::ImportRewriteAnalyzer::ImportDeclEntry,java::lang::Object,36,11,11,1,0,3,11,16
org::eclipse::jdt::internal::core::search::processing::JobManager,java::lang::Runnable,429,86,86,1,1,16,58,36
org::eclipse::jdt::internal::compiler::ast::WhileStatement,org::eclipse::jdt::internal::compiler::ast::Statement,243,30,29,3,0,17,51,0
org::eclipse::jdt::core::dom::DefaultValuePairBinding,org::eclipse::jdt::core::dom::MemberValuePairBinding,20,6,6,3,0,4,11,7
org::eclipse::jdt::core::dom::VariableDeclaration,org::eclipse::jdt::core::dom::ASTNode,152,5,5,2,2,7,16,45
org::eclipse::jdt::internal::core::builder::SourceFile,org::eclipse::jdt::internal::compiler::env::ICompilationUnit,77,16,16,2,0,11,29,12
org::eclipse::jdt::internal::core::search::matching::FieldPattern,org::eclipse::jdt::internal::core::search::matching::VariablePattern,89,24,24,5,1,4,19,15
